time,Cid,hits
2019-04-30,8,1704
2019-04-30,10,410
2019-05-01,1,21158
2019-05-01,3,5082
2019-05-01,4,2535
2019-05-01,5,13488
2019-05-02,1,24871
2019-05-02,2,19922
2019-05-02,4,4298
2019-05-02,5,4870
2019-05-02,10,261
2019-05-03,1,11725
2019-05-03,2,7059
2019-05-03,8,1698
2019-05-03,10,539
2019-05-07,1,24074
2019-05-07,2,5343
2019-05-07,5,5424
2019-05-07,10,385
2019-05-09,1,10161
2019-05-09,3,1989
2019-05-09,8,1735
2019-05-09,10,1058
2019-05-10,1,8860
2019-05-10,2,22708
2019-05-10,4,2636
2019-05-10,5,4578
2019-05-10,8,1661
2019-05-10,10,242
2019-05-11,1,2074
2019-05-13,1,5948
2019-05-13,2,15257
2019-05-13,3,2922
2019-05-13,10,337
2019-05-14,1,25505
2019-05-14,5,7855
2019-05-14,10,745
2019-05-15,1,6612
2019-05-15,2,9188
2019-05-15,3,10029
2019-05-15,5,4944
2019-05-15,8,3192
2019-05-16,1,23345
2019-05-16,2,30065
2019-05-16,3,12501
2019-05-16,5,11161
2019-05-16,10,527
2019-05-17,1,20366
2019-05-17,2,12474
2019-05-17,3,4521
2019-05-17,6,3436
2019-05-17,8,1557
2019-05-17,10,763
2019-05-19,8,1841
2019-05-20,1,17709
2019-05-20,3,4463
2019-05-20,10,786
2019-05-21,1,8758
2019-05-21,2,6790
2019-05-21,3,10324
2019-05-21,5,4768
2019-05-21,8,3346
2019-05-21,10,178
2019-05-22,1,17692
2019-05-22,2,16811
2019-05-22,3,3609
2019-05-22,5,4809
2019-05-22,8,1724
2019-05-22,10,962
2019-05-23,1,8684
2019-05-23,2,12048
2019-05-23,3,7428
2019-05-23,5,4802
2019-05-23,6,3370
2019-05-23,10,237
2019-05-24,1,7999
2019-05-24,2,17561
2019-05-24,5,10224
2019-05-24,8,1859
2019-05-24,10,951
2019-05-27,1,25067
2019-05-27,2,18061
2019-05-27,3,3643
2019-05-27,5,9252
2019-05-27,8,1624
2019-05-28,1,11314
2019-05-28,2,41206
2019-05-28,5,17778
2019-05-28,6,2962
2019-05-28,10,972
2019-05-29,1,10486
2019-05-29,3,7310
2019-05-29,4,5406
2019-05-29,5,7041
2019-05-29,6,1075
2019-05-29,8,3238
2019-05-30,1,2496
2019-05-30,8,1980
2019-05-31,1,4324
2019-05-31,3,5508
2019-05-31,5,6979
2019-05-31,8,1841
2019-06-03,1,14785
2019-06-03,2,41265
2019-06-03,3,5694
2019-06-03,5,7155
2019-06-03,8,1952
2019-06-04,1,7310
2019-06-04,2,5116
2019-06-04,3,4273
2019-06-04,5,16559
2019-06-04,6,2840
2019-06-04,8,1662
2019-06-05,1,26471
2019-06-05,2,7943
2019-06-05,6,3045
2019-06-05,8,1880
2019-06-07,1,16717
2019-06-07,2,18623
2019-06-07,3,17715
2019-06-07,5,23470
2019-06-07,8,1827
2019-06-08,1,1431
2019-06-08,8,1673
2019-06-10,1,12137
2019-06-10,2,21842
2019-06-10,3,21514
2019-06-10,5,10028
2019-06-10,10,231
2019-06-11,1,19825
2019-06-11,3,10360
2019-06-11,5,20418
2019-06-11,10,825
2019-06-12,1,15946
2019-06-12,3,2231
2019-06-12,8,2184
2019-06-12,10,243
2019-06-13,1,35836
2019-06-13,3,10909
2019-06-13,5,15547
2019-06-13,10,266
2019-06-14,1,14228
2019-06-14,2,16748
2019-06-14,10,279
2019-06-16,8,1808
2019-06-17,1,29473
2019-06-17,2,16438
2019-06-17,4,5304
2019-06-17,5,11509
2019-06-18,1,7956
2019-06-18,2,12250
2019-06-18,3,8367
2019-06-18,5,35661
2019-06-19,1,6385
2019-06-19,2,6267
2019-06-19,3,3352
2019-06-19,8,1599
2019-06-20,1,17834
2019-06-20,2,7382
2019-06-20,3,8923
2019-06-20,4,2638
2019-06-20,5,15148
2019-06-20,8,1659
2019-06-20,10,227
2019-06-21,1,38345
2019-06-21,2,11212
2019-06-21,3,2668
2019-06-21,5,10982
2019-06-24,1,21260
2019-06-24,2,23745
2019-06-24,3,7016
2019-06-24,5,7430
2019-06-25,1,12233
2019-06-25,5,11009
2019-06-25,10,199
2019-06-26,1,16342
2019-06-26,2,25462
2019-06-26,3,2521
2019-06-27,1,23841
2019-06-27,5,7069
2019-06-27,10,535
2019-06-28,1,31541
2019-06-28,3,3273
2019-06-28,5,7207
2019-06-28,8,3260
2019-07-01,1,23630
2019-07-01,2,6680
2019-07-01,3,2976
2019-07-01,5,6440
2019-07-01,8,1666
2019-07-02,1,25962
2019-07-02,2,7968
2019-07-02,3,8229
2019-07-02,5,7671
2019-07-02,10,172
2019-07-03,1,15000
2019-07-03,2,6681
2019-07-03,3,11519
2019-07-03,8,1620
2019-07-03,10,482
2019-07-04,1,4932
2019-07-04,2,30328
2019-07-04,3,2660
2019-07-04,5,5831
2019-07-04,10,439
2019-07-05,1,2078
2019-07-05,8,1537
2019-07-08,1,11730
2019-07-08,2,28830
2019-07-08,10,419
2019-07-09,1,17776
2019-07-09,2,27728
2019-07-09,3,20914
2019-07-09,5,4973
2019-07-09,10,221
2019-07-10,1,17912
2019-07-10,2,14532
2019-07-10,3,8251
2019-07-10,5,14566
2019-07-10,8,1568
2019-07-11,1,8017
2019-07-11,4,3336
2019-07-11,5,4795
2019-07-11,8,1517
2019-07-12,1,10781
2019-07-12,2,8144
2019-07-12,3,23174
2019-07-12,8,3279
2019-07-13,1,2176
2019-07-15,1,19028
2019-07-15,10,169
2019-07-16,1,20757
2019-07-16,2,40444
2019-07-16,5,24728
2019-07-16,8,1546
2019-07-16,10,400
2019-07-17,1,3543
2019-07-17,2,35602
2019-07-17,5,12873
2019-07-17,8,1534
2019-07-17,10,1209
2019-07-18,1,29026
2019-07-18,2,27586
2019-07-18,4,6315
2019-07-18,5,4811
2019-07-19,1,11273
2019-07-19,2,28181
2019-07-19,3,8662
2019-07-19,5,4743
2019-07-19,10,296
2019-07-22,1,12170
2019-07-22,3,4232
2019-07-22,5,16678
2019-07-22,8,3443
2019-07-22,10,315
2019-07-23,1,7590
2019-07-23,5,5028
2019-07-23,8,3189
2019-07-24,1,17748
2019-07-24,2,20822
2019-07-24,3,5107
2019-07-24,5,4432
2019-07-25,1,6766
2019-07-25,2,10375
2019-07-26,1,26049
2019-07-26,2,5188
2019-07-26,3,3863
2019-07-27,6,1791
2019-07-29,1,15290
2019-07-29,2,17765
2019-07-29,3,8794
2019-07-29,4,4427
2019-07-29,5,10020
2019-07-30,1,10263
2019-07-30,2,12755
2019-07-30,3,5984
2019-07-30,5,4123
2019-07-30,10,211
2019-07-31,1,7322
2019-07-31,5,4262
2019-08-01,1,6761
