Cid,title,hits,time,cluster
1,[참사람사회공헌센터] 2023 봄학기 사회봉사교과목 신입생 수강신청 안내,555,2023-02-23,153
1,[학부] 2023 신편입생 학번 조회 및 로그인 방법 안내,842,2023-02-23,25
1,[경영학과] 최경규 교수님 조교 모집(마감),496,2023-02-21,120
1,2023학년도 1학기 재학생 운동장 대관 신청 안내,1031,2023-02-21,441
1,2023년도  R O T C 학군사관후보생 모집,807,2023-02-21,25
1,[평가감사실] 학생모니터링단 동화 16기 모집 안내,1178,2023-02-21,469
1,[대학미디어센터] 2023학년도 1학기 동국포스트(영자신문사) 57기 수습기자 모집(우수활동자 해외취재기회 부여),1211,2023-02-20,255
1,[행정학과] 주창범 교수님 조교 모집(~2/22),407,2023-02-20,465
1,[국가근로학생 모집] 2023학년도 1학기 장애학생 교육활동 지원 수업도우미 모집(학부생),1284,2023-02-17,249
1,[대학미디어센터] 동국대학교 교육방송국 DUBS에서 65기 수습국원을 모집합니다.,880,2023-02-16,419
1,[모집마감] 인공지능 현직자 특강 듣자,956,2023-02-15,159
1,2023학년도 신입생 오리엔테이션 안내,11174,2023-02-14,164
1,[교수학습개발센터] AI 토익 학습 프로그램 우수 참여자 선정 발표 및 시상 안내,685,2023-02-13,17
1,[창업교육센터] 2023 스타트업 캠퍼스 동국! 스타톤 경진대회 참가자 모집,1041,2023-02-10,66
1,크크동( Creator Crew of Dongguk) 2기 모집,1339,2023-02-10,192
1,"모두의연구소가 만든 AI 학교, ""아이펠"" 입학생 모집(등록금 무료)",647,2023-02-10,25
1,[참사람사회공헌센터] 2023 봄학기 사회봉사교과목 수강신청 안내,584,2023-02-10,153
1,[교수학습개발센터] 글로벌 역량 강화 워크숍,556,2023-02-09,414
1,[경영정보학과] 정덕훈 교수님 조교 모집(마감),455,2023-02-09,120
1,[경영학과] 이상현 교수님 조교 모집,501,2023-02-08,465
1,[경영정보학과] 권소연 교수님 조교 모집(마감),406,2023-02-08,120
1,[회계학과] 남혜정 교수님 조교 모집(마감),392,2023-02-08,157
1,[회계학과] 정선문 교수님 조교 모집(마감),337,2023-02-08,157
1,[교수학습개발센터] 학습 콘텐츠 공모전 최종 결과 발표,812,2023-02-08,17
1,[경영전문대학원] 중국어 가능 조교 모집 （마감）,439,2023-02-07,370
1,2023학년도 1학기 학부 및 대학원 신(편)입생 학생증 발급 안내,6547,2023-02-07,344
1,[대학미디어센터] 동대신문사 2023학년도 1학기 신입기자 모집,459,2023-02-06,398
1,2023년 상반기 서울런 멘토단 참여 대학생 추천 안내,1290,2023-02-03,114
1,[행정학과] 주창범 교수님 조교 모집(~2/10),563,2023-02-03,465
1,[사범대학 가정교육과] 신혜원 교수님 조교 모집,546,2023-02-03,231
1,"다쏘시스템코리아 본사 방문하고, 현직자 특강 듣자(마일리지 10점 지급)",512,2023-02-03,105
1,[행정학과] 배광빈 교수님 조교 모집(~2/10),329,2023-02-03,465
1,[과학영재교육원] 단기 수업조교 모집(모집 마감),616,2023-02-03,402
1,[교수학습개발센터] GROW 프로그램 우수 참여자 선정 발표 및 시상 안내,382,2023-02-02,112
1,[경영학과] 이영면 교수님 조교 모집,319,2023-02-02,465
1,[연구등록(B)] 2023학년도 1학기 연구등록(B) 등록 안내,497,2023-02-02,83
1,[경영학과] 김대룡 교수님 조교 모집 (~2/6),467,2023-02-01,465
1,[경영학과] 카린맥도날드 교수님 조교 모집,408,2023-02-01,465
1,[경영학과] 강경훈 교수님 조교 모집,374,2023-02-01,465
1,[교수학습개발센터] BEST 프로그램 우수 참여자 선정 발표 및 시상 안내,727,2023-01-31,112
1,[대학미디어센터] 2023학년도 1학기 대학원신문사 신임 편집위원 모집 (장학혜택 안내),615,2023-01-30,200
1,[참사람사회공헌센터] 2023 봄학기 사회봉사교과목 수강신청 안내(수정),780,2023-01-25,153
1,[경영정보학과] 남기환 교수님 조교 모집,876,2023-01-20,465
1,2022년 연말정산 관련 종(전)근무지 근로소득 원천징수영수증 발급 안내,6503,2023-01-20,261
1,[역량개발센터] 2022 마일리지 경진대회 수상 결과 발표,1288,2023-01-17,124
1,[한국통신학회] ICT 융합 아이디어 경진대회 참가 학생 모집 연장(~ 1/19(목) 24시),865,2023-01-16,478
1,[미래융합교육원] 대한유도회 유도단증 자격과정 모집 안내,512,2023-01-13,201
1,[창업교육센터] 2023 청년 창업지원사업 집중 공략 교육(~1/17(목)),476,2023-01-12,66
1,2022학년도 행정부서 동계방학 셧다운 및 집중휴가 안내,1526,2023-01-12,350
1,[미래융합교육원] 사회조사분석사2급 통합과정 방학특강 안내,463,2023-01-11,201
1,[법과대학 고시반] 2023학년도 법학전문대학원 합격자 조사 안내,593,2023-01-10,138
1,"[법과대학 고시반] 2023-1학기 고시반(법학전문대학원반, 공인노무사반, 법원행정고등고시반) 입반시험 공고",842,2023-01-09,221
1,2022 동국대 학습 콘텐츠 공모전,1302,2023-01-06,477
1,(예비군연대) 2023-1학기 학생 예비군 편성(전입) 안내,1361,2023-01-06,450
1,[협력학습 동국 튜터링] 우수활동 튜티 선정 발표 및 시상 안내,679,2023-01-05,148
1,2023-1학기 학부 외국인입학전형(2차) 안내(23-1 2nd Admissions),301,2023-01-05,325
1,2023학년도 신입생 입학 전 교육프로그램 신청 안내,1043,2023-01-05,224
